Loan Number,Loan Officer,Primary Borrower,Co-Borrowers,Primary Borrower: Email,Co-Borrowers: Email,Subject Property: Address: 1,Subject Property: Address: State,Funding Date,Program,Total Loan Amount,Doc Signed Date,Interest Rate,Custom: PCL Loan Type,LTV,CLTV,DTI
4418XXX,Brad Overlin,Mock Borrower 1,,mock_1@example.com,,"3311 Mock St, City, WA 12345",WA,11/21/2025,J 30 JPM Express,"$1,100,000.00",11/17/2025,7.375%,Conventional,80.000%,80.000%,0.000%
4450XXX,Brad Overlin,Mock Borrower 2,,mock_2@example.com,mock_co_2@example.com,"1104 Mock St, City, WA 12345",WA,11/17/2025,C 30 HB,"$1,037,300.00",11/10/2025,5.990%,Conventional,49.990%,49.990%,0.000%
4441XXX,Brad Overlin,Mock Borrower 3,,mock_3@example.com,mock_co_3@example.com,"6582 Mock St, City, OR 12345",OR,11/3/2025,C30,"$475,000.00",10/29/2025,6.625%,Conventional,74.920%,74.921%,0.000%
4444XXX,Brad Overlin,Mock Borrower 4,,mock_4@example.com,,"6155 Mock St, City, WA 12345",WA,10/29/2025,C30,"$795,000.00",10/24/2025,5.990%,Conventional,75.000%,75.000%,0.000%
4431XXX,Brad Overlin,Mock Borrower 5,,mock_5@example.com,mock_co_5@example.com,"230 Mock St, City, WA 12345",WA,10/29/2025,EA GS 30,"$1,093,378.00",10/28/2025,7.750%,Conventional,89.990%,89.990%,0.000%
4441XXX,Brad Overlin,Mock Borrower 6,,mock_6@example.com,mock_co_6@example.com,"1532 Mock St, City, WA 12345",WA,10/22/2025,SR AmeriHome C 30 FHLMC,"$313,100.00",10/21/2025,6.625%,Conventional,31.000%,31.000%,0.000%
4451XXX,Brad Overlin,Mock Borrower 7,,mock_7@example.com,mock_co_7@example.com,"2345 Mock St, City, WA 12345",WA,10/20/2025,C 30 (AMI),"$720,000.00",10/17/2025,6.125%,Conventional,90.000%,90.000%,0.000%
4442XXX,Brad Overlin,Mock Borrower 8,,mock_8@example.com,mock_co_8@example.com,"1773 Mock St, City, WA 12345",WA,10/17/2025,C30,"$500,000.00",10/11/2025,5.990%,Conventional,59.950%,59.952%,0.000%
4439XXX,Brad Overlin,Mock Borrower 9,,mock_9@example.com,mock_co_9@example.com,"6470 Mock St, City, WA 12345",WA,10/16/2025,EA SGCAP 30,"$1,286,000.00",10/9/2025,7.000%,Conventional,79.380%,79.383%,0.000%
4417XXX,Brad Overlin,Mock Borrower 10,,mock_10@example.com,mock_co_10@example.com,"5373 Mock St, City, WA 12345",WA,10/14/2025,C 30 HB,"$1,037,300.00",10/10/2025,5.990%,Conventional,43.860%,43.861%,0.000%
4433XXX,Brad Overlin,Mock Borrower 11,,mock_11@example.com,mock_co_11@example.com,"9061 Mock St, City, WA 12345",WA,10/14/2025,C30,"$433,000.00",10/4/2025,6.625%,Conventional,89.280%,89.278%,0.000%
4442XXX,Brad Overlin,Mock Borrower 12,,mock_12@example.com,mock_co_12@example.com,"4949 Mock St, City, WA 12345",WA,10/9/2025,C30,"$450,000.00",10/4/2025,5.990%,Conventional,34.480%,34.483%,0.000%
4436XXX,Brad Overlin,Mock Borrower 13,,mock_13@example.com,mock_co_13@example.com,"5973 Mock St, City, WA 12345",WA,10/6/2025,C30,"$616,500.00",10/1/2025,6.562%,Conventional,84.920%,84.917%,0.000%
4427XXX,Brad Overlin,Mock Borrower 14,,mock_14@example.com,mock_co_14@example.com,"8306 Mock St, City, WA 12345",WA,10/6/2025,EA LR 30,"$1,048,461.00",10/3/2025,6.500%,Conventional,80.000%,80.000%,0.000%
4442XXX,Brad Overlin,Mock Borrower 15,,mock_15@example.com,mock_co_15@example.com,"9482 Mock St, City, WA 12345",WA,10/8/2025,C30,"$425,000.00",10/1/2025,5.990%,Conventional,42.500%,42.500%,0.000%
4347XXX,Brad Overlin,Mock Borrower 16,,mock_16@example.com,mock_co_16@example.com,"9374 Mock St, City, WA 12345",WA,10/6/2025,C 30 HB,"$1,037,300.00",10/1/2025,5.990%,Conventional,43.680%,43.676%,0.000%
4436XXX,Brad Overlin,Mock Borrower 17,,mock_17@example.com,mock_co_17@example.com,"6358 Mock St, City, WA 12345",WA,9/19/2025,C30,"$760,000.00",9/18/2025,6.125%,Conventional,80.000%,80.000%,0.000%
4224XXX,Brad Overlin,Mock Borrower 18,,mock_18@example.com,mock_co_18@example.com,"4776 Mock St, City, WA 12345",WA,9/18/2025,EA LR 30 Asset Depl,"$1,144,000.00",9/18/2025,7.000%,Conventional,80.000%,80.000%,0.000%
4438XXX,Brad Overlin,Mock Borrower 19,,mock_19@example.com,,"8905 Mock St, City, WA 12345",WA,9/12/2025,C 30 (AMI),"$806,500.00",9/12/2025,6.437%,Conventional,94.880%,94.882%,0.000%
4249XXX,Brad Overlin,Mock Borrower 20,,mock_20@example.com,mock_co_20@example.com,"5351 Mock St, City, WA 12345",WA,9/10/2025,C30,"$640,000.00",9/8/2025,6.937%,Conventional,80.000%,80.000%,0.000%
4417XXX,Brad Overlin,Mock Borrower 21,,mock_21@example.com,mock_co_21@example.com,"6036 Mock St, City, WA 12345",WA,9/9/2025,Temp 1/0 Buydown C 30 (AMI),"$731,250.00",9/8/2025,6.625%,Conventional,90.000%,90.000%,0.000%
4404XXX,Brad Overlin,Mock Borrower 22,,mock_22@example.com,mock_co_22@example.com,"2456 Mock St, City, NV 12345",NV,8/11/2025,J 30 Chase Del,"$977,000.00",8/6/2025,6.875%,Conventional,79.760%,79.755%,0.000%
4415XXX,Brad Overlin,Mock Borrower 23,,mock_23@example.com,,"1016 Mock St, City, WA 12345",WA,8/7/2025,Temp 1/0 Buydown C 30 (AMI),"$376,000.00",8/6/2025,6.500%,Conventional,80.000%,80.000%,0.000%
4347XXX,Brad Overlin,Mock Borrower 24,,mock_24@example.com,mock_co_24@example.com,"8672 Mock St, City, WA 12345",WA,8/4/2025,C 30 HB,"$885,200.00",7/29/2025,6.990%,Conventional,83.510%,83.509%,0.000%
4414XXX,Brad Overlin,Mock Borrower 25,,mock_25@example.com,mock_co_25@example.com,"4786 Mock St, City, WA 12345",WA,7/28/2025,EA LR 30 Asset Depl,"$1,950,000.00",7/25/2025,6.875%,Conventional,75.000%,75.000%,0.000%
4341XXX,Brad Overlin,Mock Borrower 26,,mock_26@example.com,mock_co_26@example.com,"9267 Mock St, City, WA 12345",WA,7/25/2025,Temp 2/1 Buydown C30,"$448,000.00",7/24/2025,6.750%,Conventional,80.000%,80.000%,0.000%
4389XXX,Brad Overlin,Mock Borrower 27,,mock_27@example.com,mock_co_27@example.com,"119 Mock St, City, FL 12345",FL,7/22/2025,SR AmeriHome C 30 FNMA,"$150,000.00",7/17/2025,6.750%,Conventional,28.460%,28.463%,0.000%
4349XXX,Brad Overlin,Mock Borrower 28,,mock_28@example.com,mock_co_28@example.com,"5291 Mock St, City, WA 12345",WA,7/15/2025,C30,"$588,000.00",7/14/2025,6.990%,Conventional,70.000%,70.000%,0.000%
4406XXX,Brad Overlin,Mock Borrower 29,,mock_29@example.com,,"3561 Mock St, City, WA 12345",WA,7/10/2025,C30,"$806,250.00",7/7/2025,6.625%,Conventional,75.000%,75.000%,0.000%
4394XXX,Brad Overlin,Mock Borrower 30,,mock_30@example.com,,"4306 Mock St, City, FL 12345",FL,7/1/2025,C30,"$348,750.00",7/1/2025,7.500%,Conventional,75.000%,75.000%,0.000%
4392XXX,Brad Overlin,Mock Borrower 31,,mock_31@example.com,mock_co_31@example.com,"6191 Mock St, City, OH 12345",OH,6/30/2025,SR AmeriHome C 30 FNMA,"$79,770.00",6/27/2025,7.500%,Conventional,75.010%,75.007%,0.000%
4395XXX,Brad Overlin,Mock Borrower 32,,mock_32@example.com,,"616 Mock St, City, WA 12345",WA,6/20/2025,J 30 Preferred Express,"$2,240,000.00",6/20/2025,7.000%,Conventional,80.000%,80.000%,0.000%
4342XXX,Brad Overlin,Mock Borrower 33,,mock_33@example.com,mock_co_33@example.com,"2634 Mock St, City, WA 12345",WA,6/20/2025,J 30 Preferred Express,"$1,114,750.00",6/20/2025,6.500%,Conventional,65.000%,65.000%,0.000%
4384XXX,Brad Overlin,Mock Borrower 34,,mock_34@example.com,mock_co_34@example.com,"6946 Mock St, City, WA 12345",WA,6/17/2025,HomeReady 30,"$427,500.00",6/16/2025,5.875%,Conventional,95.000%,95.000%,0.000%
4374XXX,Brad Overlin,Mock Borrower 35,,mock_35@example.com,mock_co_35@example.com,"2548 Mock St, City, WA 12345",WA,6/5/2025,C30,"$359,955.00",6/4/2025,6.990%,Conventional,90.000%,90.000%,0.000%
4381XXX,Brad Overlin,Mock Borrower 36,,mock_36@example.com,,"2488 Mock St, City, WA 12345",WA,5/21/2025,C 30 (AMI),"$308,702.00",5/20/2025,6.875%,Conventional,95.000%,95.000%,0.000%
